competitor_id,name,country,country_code
sr:competitor:64496,"Ostapenko, Jelena",Latvia,LVA
sr:competitor:18298,"Zvonareva, Vera",Neutral,
sr:competitor:119670,"Perez, Ellen",Australia,AUS
sr:competitor:37508,"Siegemund, Laura",Germany,DEU
sr:competitor:45835,"Hunter, Storm",Australia,AUS
sr:competitor:43547,"Aoyama, Shuko",Japan,JPN
sr:competitor:50537,"Schuurs, Demi",Netherlands,NLD
sr:competitor:208125,"Liang, En-Shuo",Chinese Taipei,TPE
sr:competitor:43102,"Babos, Timea",Hungary,HUN
sr:competitor:150122,"Jiang, Xinyu",China,CHN
sr:competitor:51481,"Sutjiadi, Aldila",Indonesia,IDN
sr:competitor:129714,"Nicholls, Olivia",Great Britain,GBR
sr:competitor:142996,"Mihalikova, Tereza",Slovakia,SVK
sr:competitor:19974,"Xu, Yifan",China,CHN
sr:competitor:871583,"Andreeva, Mirra",Neutral,
sr:competitor:588071,"Shnaider, Diana",Neutral,
sr:competitor:66968,"Kudermetova, Veronika",Neutral,
sr:competitor:157672,"Stollar, Fanny",Hungary,HUN
sr:competitor:24431,"Panova, Alexandra",Neutral,
sr:competitor:73542,"Gleason, Quinn",USA,USA
sr:competitor:166124,"Olmos, Giuliana",Mexico,MEX
sr:competitor:242602,"McNally, Caty",USA,USA
sr:competitor:460837,"Tjen, Janice",Indonesia,IDN
sr:competitor:47801,"Eikeri, Ulrikke",Norway,NOR
sr:competitor:48625,"Chan, Hao-Ching",Chinese Taipei,TPE
sr:competitor:19932,"Muhammad, Asia",USA,USA
sr:competitor:64021,"Krawczyk, Desirae",USA,USA
sr:competitor:47810,"Khromacheva, Irina",Neutral,
sr:competitor:66432,"Kato, Miyu (1994)",Japan,JPN
sr:competitor:41520,"Kichenok, Lyudmyla",Ukraine,UKR
sr:competitor:128584,"Samsonova, Liudmila",Neutral,
sr:competitor:776340,"Joint, Maya",Australia,AUS
sr:competitor:69602,"Lumsden, Maia",Great Britain,GBR
sr:competitor:19731,"Piter, Katarzyna",Poland,POL
sr:competitor:67759,"Alexandrova, Ekaterina",Neutral,
sr:competitor:108621,"Kempen, Magali",Belgium,BEL
sr:competitor:182054,"Skoch, Miriam",Czechia,CZE
sr:competitor:46428,"Maleckova, Jesika",Czechia,CZE
sr:competitor:401055,"Noskova, Linda",Czechia,CZE
sr:competitor:91960,"Kenin, Sofia",USA,USA
sr:competitor:194106,"Tang, Qianhui",China,CHN
sr:competitor:235252,"Kozyreva, Maria",Neutral,
sr:competitor:173748,"Detiuc, Anastasia",Czechia,CZE
sr:competitor:87090,"Chong, Eudice","Hong Kong, China",HKG
sr:competitor:45915,"Yang, Zhaoxuan",China,CHN
sr:competitor:215476,"Siskova, Anna",Czechia,CZE
sr:competitor:182178,"Wu, Fang-Hsien",Chinese Taipei,TPE
sr:competitor:373352,"Gauff, Coco",USA,USA
sr:competitor:287769,"Kessler, McCartney",USA,USA
sr:competitor:60668,"Ninomiya, Makoto",Japan,JPN
sr:competitor:70784,"Hozumi, Eri",Japan,JPN
sr:competitor:289507,"Fernandez, Leylah",Canada,CAN
sr:competitor:18965,"Klepac, Andreja",Slovenia,SVN
sr:competitor:105463,"Bouzkova, Marie",Czechia,CZE
sr:competitor:418583,"Haverlag, Isabelle",Netherlands,NLD
sr:competitor:799304,"Pridankina, Elena",Neutral,
sr:competitor:138452,"Shibahara, Ena",Japan,JPN
sr:competitor:385206,"Radisic, Nika",Slovenia,SVN
sr:competitor:92879,"Shymanovich, Iryna",Neutral,
sr:competitor:303814,"Tikhonova, Anastasia",Neutral,
sr:competitor:60398,"Krejcikova, Barbora",Czechia,CZE
sr:competitor:252223,"Rakhimova, Kamilla",Uzbekistan,UZB
sr:competitor:53789,"Dart, Harriet",Great Britain,GBR
sr:competitor:44834,"Pegula, Jessica",USA,USA
sr:competitor:135854,"Neel, Ingrid",Estonia,EST
sr:competitor:92877,"Fossa Huergo, Nicole",Argentina,ARG
sr:competitor:64085,"Pigossi, Laura",Brazil,BRA
sr:competitor:914135,"Jovic, Iva",USA,USA
sr:competitor:103901,"Ruse, Elena-Gabriela",Romania,ROU
sr:competitor:272217,"Wang, Xinyu",China,CHN
